des: 53.00 | now: 53.23 | du: 0.226 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.23 | du: 0.226 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.18 | du: 0.227 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.18 | du: 0.228 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.15 | du: 0.228 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.15 | du: 0.229 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.15 | du: 0.229 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.229 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.10 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.10 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.05 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.97 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.97 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 53.02 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.92 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.82 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.82 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.77 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.74 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.72 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.72 | du: 0.241 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.241 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.242 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.242 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.242 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.243 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.243 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.243 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.243 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.243 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.49 | du: 0.243 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.244 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.54 | du: 0.244 | p_: 00.10 | i_: 00.10
        Duty: 0.000 | Vin: 56.714 | Iin: 1.565 | Pow: 88.780 | MPP Pow: 0.000
        Duty: 0.010 | Vin: 56.536 | Iin: 1.639 | Pow: 92.638 | MPP Pow: 88.780
        Duty: 0.020 | Vin: 56.409 | Iin: 1.679 | Pow: 94.723 | MPP Pow: 92.638
        Duty: 0.030 | Vin: 56.332 | Iin: 1.720 | Pow: 96.886 | MPP Pow: 94.723
        Duty: 0.040 | Vin: 56.205 | Iin: 1.756 | Pow: 98.723 | MPP Pow: 96.886
        Duty: 0.050 | Vin: 56.154 | Iin: 1.797 | Pow: 100.917 | MPP Pow: 98.723
        Duty: 0.060 | Vin: 56.052 | Iin: 1.834 | Pow: 102.785 | MPP Pow: 100.917
        Duty: 0.070 | Vin: 55.951 | Iin: 1.866 | Pow: 104.419 | MPP Pow: 102.785
        Duty: 0.080 | Vin: 55.823 | Iin: 1.911 | Pow: 106.678 | MPP Pow: 104.419
        Duty: 0.090 | Vin: 55.721 | Iin: 1.948 | Pow: 108.522 | MPP Pow: 106.678
        Duty: 0.100 | Vin: 55.594 | Iin: 1.988 | Pow: 110.535 | MPP Pow: 108.522
        Duty: 0.110 | Vin: 55.467 | Iin: 2.017 | Pow: 111.860 | MPP Pow: 110.535
        Duty: 0.120 | Vin: 55.365 | Iin: 2.057 | Pow: 113.906 | MPP Pow: 111.860
        Duty: 0.130 | Vin: 55.238 | Iin: 2.102 | Pow: 116.115 | MPP Pow: 113.906
        Duty: 0.140 | Vin: 55.111 | Iin: 2.163 | Pow: 119.208 | MPP Pow: 116.115
        Duty: 0.150 | Vin: 54.907 | Iin: 2.204 | Pow: 121.000 | MPP Pow: 119.208
        Duty: 0.160 | Vin: 54.729 | Iin: 2.244 | Pow: 122.833 | MPP Pow: 121.000
        Duty: 0.170 | Vin: 54.525 | Iin: 2.305 | Pow: 125.701 | MPP Pow: 122.833
        Duty: 0.180 | Vin: 54.321 | Iin: 2.350 | Pow: 127.661 | MPP Pow: 125.701
        Duty: 0.190 | Vin: 54.092 | Iin: 2.403 | Pow: 129.982 | MPP Pow: 127.661
        Duty: 0.200 | Vin: 53.863 | Iin: 2.440 | Pow: 131.403 | MPP Pow: 129.982
