   DC: 0.14   V: 50.02V |  0.00V |  0.00V   P: 96.20W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.16   V: 49.92V |  0.00V |  0.05V   P: 100.67W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.18   V: 49.69V |  0.05V |  0.05V   P: 103.64W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.20   V: 49.54V |  0.10V |  0.10V   P: 109.77W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.22   V: 49.33V |  0.13V |  0.13V   P: 114.53W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.24   V: 49.18V |  0.10V |  0.20V   P: 118.38W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.26   V: 48.92V |  0.15V |  0.15V   P: 124.13W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.28   V: 48.64V |  0.20V |  0.18V   P: 131.33W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.30   V: 48.39V |  0.13V |  0.13V   P: 137.53W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.32   V: 48.03V |  0.00V |  0.00V   P: 143.35W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.34   V: 47.63V |  0.00V |  0.00V   P: 150.27W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.36   V: 47.14V |  0.00V |  0.00V   P: 155.07W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.38   V: 46.56V |  0.00V |  0.00V   P: 161.09W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.40   V: 45.82V |  0.00V |  0.00V   P: 169.35W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.42   V: 44.90V |  0.00V |  0.00V   P: 173.63W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.44   V: 43.58V |  0.00V |  0.00V   P: 173.82W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.46   V: 41.82V |  0.00V |  0.00V   P: 173.62W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.48   V: 39.23V |  0.00V |  0.00V   P: 164.12W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.50   V: 36.48V |  0.00V |  0.00V   P: 152.32W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.52   V: 33.78V |  0.00V |  0.03V   P: 141.33W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
