des: 54.00 | now: 54.09 | du: 0.201 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.201 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.09 | du: 0.202 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.07 | du: 0.202 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.07 | du: 0.202 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.04 | du: 0.202 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 54.04 | du: 0.205 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.99 | du: 0.207 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.99 | du: 0.208 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.91 | du: 0.210 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.86 | du: 0.211 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.84 | du: 0.212 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.84 | du: 0.213 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.79 | du: 0.214 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.79 | du: 0.215 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.79 | du: 0.216 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.74 | du: 0.217 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.69 | du: 0.218 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.63 | du: 0.218 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.69 | du: 0.219 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.63 | du: 0.219 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.63 | du: 0.220 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.63 | du: 0.220 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.63 | du: 0.220 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.61 | du: 0.221 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.58 | du: 0.221 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.63 | du: 0.222 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.58 | du: 0.222 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.56 | du: 0.222 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.56 | du: 0.222 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.56 | du: 0.222 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.56 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.56 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.56 | du: 0.223 | p_: 00.10 | i_: 00.10
